agegrp	timebin1	timebin2	timebin3	timebin4	timebin5	timebin6	timebin7	timebin8	timebin9	timebin10	timebin11	timebin12	timebin13	timebin14	timebin15	timebin16	timebin17	timebin18	timebin19	timebin20	timebin21	timebin22	timebin23	timebin24	timebin25	timebin26	timebin27	timebin28	timebin29	timebin30	timebin31	timebin32	timebin33	timebin34	timebin35	timebin36	timebin37	timebin38	timebin39	timebin40	timebin41	timebin42	timebin43	timebin44	timebin45	timebin46	timebin47	timebin48	timebin49	timebin50	timebin51	timebin52	timebin53	timebin54	timebin55	timebin56	timebin57	timebin58	timebin59	timebin60	timebin61	timebin62	timebin63	timebin64	timebin65	timebin66	timebin67	timebin68	timebin69	timebin70	timebin71	timebin72	timebin73	timebin74	timebin75	timebin76	timebin77	timebin78	timebin79	timebin80	timebin81	timebin82	timebin83	timebin84	timebin85	timebin86	timebin87	timebin88	timebin89	timebin90	timebin91	timebin92	timebin93	timebin94	timebin95	timebin96
6	93.3	93.3	93.3	93.3	80.1	80.1	80.1	80.1	53.8	53.8	53.8	53.8	28.2	28.2	28.2	28.2	99.7	99.7	99.4	99.4	97.7	97.7	93.1	93.1	75.1	75.1	51.6	51.6	27.0	27.0	12.1	12.1	4.7	4.7	2.0	2.0	0.8	0.8	0.4	0.4	0.2	0.2	0.2	0.2	0.5	0.5	0.9	0.9	2.0	2.0	3.1	3.1	5.8	5.8	10.7	10.7	17.8	17.8	24.4	24.4	26.9	26.9	25.8	25.8	17.6	17.6	10.4	10.4	4.3	4.3	1.8	1.8	0.7	0.7	0.5	0.5	0.7	0.7	1.9	1.9	6.8	6.8	20.0	20.0	46.3	46.3	71.8	71.8	90.7	90.7	96.9	96.9	97.8	97.8	98.1	98.1
10	96.3	96.3	96.3	96.3	87.5	87.5	87.5	87.5	65.8	65.8	65.8	65.8	40.1	40.1	40.1	40.1	99.4	99.4	98.8	98.8	95.6	95.6	88.5	88.5	67.2	67.2	43.3	43.3	22.0	22.0	10.0	10.0	4.0	4.0	1.8	1.8	0.8	0.8	0.4	0.4	0.2	0.2	0.2	0.2	0.4	0.4	0.7	0.7	1.6	1.6	2.6	2.6	4.6	4.6	8.4	8.4	14.6	14.6	19.8	19.8	22.2	22.2	21.0	21.0	14.1	14.1	8.7	8.7	3.5	3.5	1.6	1.6	0.6	0.6	0.3	0.3	0.3	0.3	0.8	0.8	3.7	3.7	12.7	12.7	34.4	34.4	60.0	60.0	84.5	84.5	94.2	94.2	97.9	97.9	98.9	98.9
15	97.3	97.3	98.0	98.0	94.5	94.5	94.5	94.5	82.3	82.3	82.3	82.3	63.2	63.2	63.2	63.2	99.0	99.0	98.0	98.0	92.8	92.8	83.8	83.8	60.5	60.5	39.2	39.2	19.3	19.3	9.7	9.7	4.1	4.1	2.2	2.2	1.1	1.1	0.8	0.8	0.6	0.6	0.6	0.6	0.8	0.8	1.2	1.2	2.2	2.2	3.2	3.2	5.1	5.1	8.8	8.8	14.8	14.8	19.5	19.5	21.1	21.1	19.9	19.9	13.8	13.8	8.6	8.6	3.8	3.8	1.7	1.7	0.7	0.7	0.3	0.3	0.2	0.2	0.4	0.4	1.4	1.4	5.3	5.3	17.7	17.7	36.9	36.9	64.7	64.7	81.8	81.8	92.4	92.4	96.5	96.5
20	96.7	96.7	97.6	97.6	95.5	95.5	95.7	95.7	86.3	86.3	86.3	86.3	70.3	70.3	70.3	70.3	98.6	98.6	97.2	97.2	89.1	89.1	77.3	77.3	53.5	53.5	35.5	35.5	17.8	17.8	9.4	9.4	4.2	4.2	2.4	2.4	1.3	1.3	1.1	1.1	0.8	0.8	0.8	0.8	1.2	1.2	1.7	1.7	3.0	3.0	4.3	4.3	6.4	6.4	10.2	10.2	17.1	17.1	22.6	22.6	24.4	24.4	22.6	22.6	15.5	15.5	9.3	9.3	3.9	3.9	1.7	1.7	0.7	0.7	0.4	0.4	0.3	0.3	0.4	0.4	1.1	1.1	3.8	3.8	13.6	13.6	29.9	29.9	57.0	57.0	75.5	75.5	89.0	89.0	94.8	94.8
25	97.1	97.1	97.7	97.7	95.1	95.1	95.2	95.2	85.0	85.0	85.1	85.1	67.7	67.7	67.7	67.7	98.6	98.6	96.6	96.6	85.8	85.8	70.5	70.5	44.3	44.3	26.9	26.9	12.2	12.2	6.1	6.1	2.7	2.7	1.6	1.6	0.9	0.9	0.7	0.7	0.6	0.6	0.7	0.7	1.1	1.1	1.5	1.5	2.6	2.6	3.7	3.7	5.8	5.8	9.5	9.5	16.0	16.0	22.3	22.3	25.1	25.1	23.4	23.4	16.1	16.1	9.8	9.8	3.9	3.9	1.4	1.4	0.6	0.6	0.3	0.3	0.3	0.3	0.4	0.4	1.3	1.3	4.4	4.4	15.0	15.0	32.6	32.6	60.8	60.8	79.8	79.8	91.8	91.8	96.2	96.2
30	97.5	97.5	97.9	97.9	94.9	94.9	95.0	95.0	84.5	84.5	84.5	84.5	66.3	66.3	66.3	66.3	98.3	98.3	95.9	95.9	83.9	83.9	67.4	67.4	40.1	40.1	22.8	22.8	9.6	9.6	4.5	4.5	1.9	1.9	1.1	1.1	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.9	0.9	1.3	1.3	2.4	2.4	3.3	3.3	5.4	5.4	8.9	8.9	15.0	15.0	20.4	20.4	22.5	22.5	21.0	21.0	14.5	14.5	8.4	8.4	3.4	3.4	1.3	1.3	0.5	0.5	0.3	0.3	0.2	0.2	0.4	0.4	1.5	1.5	4.8	4.8	15.6	15.6	34.0	34.0	62.9	62.9	81.9	81.9	93.2	93.2	97.0	97.0
35	97.5	97.5	97.9	97.9	94.4	94.4	94.4	94.4	82.8	82.8	82.8	82.8	64.2	64.2	64.2	64.2	98.4	98.4	95.4	95.4	81.2	81.2	62.8	62.8	34.7	34.7	18.8	18.8	7.2	7.2	3.3	3.3	1.3	1.3	0.8	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.9	0.9	1.4	1.4	2.5	2.5	3.5	3.5	5.7	5.7	9.2	9.2	15.3	15.3	20.1	20.1	21.7	21.7	19.8	19.8	13.5	13.5	7.7	7.7	3.1	3.1	1.2	1.2	0.5	0.5	0.3	0.3	0.3	0.3	0.5	0.5	1.7	1.7	5.4	5.4	17.2	17.2	36.0	36.0	65.4	65.4	83.9	83.9	94.5	94.5	97.5	97.5
40	97.5	97.5	97.7	97.7	94.0	94.0	94.1	94.1	81.7	81.7	81.7	81.7	62.2	62.2	62.2	62.2	98.0	98.0	94.4	94.4	78.8	78.8	59.9	59.9	31.6	31.6	16.7	16.7	6.1	6.1	2.8	2.8	1.2	1.2	0.7	0.7	0.5	0.5	0.5	0.5	0.6	0.6	0.7	0.7	1.1	1.1	1.5	1.5	2.6	2.6	3.7	3.7	6.0	6.0	10.3	10.3	17.0	17.0	22.4	22.4	23.3	23.3	21.1	21.1	13.8	13.8	7.8	7.8	3.0	3.0	1.2	1.2	0.5	0.5	0.3	0.3	0.3	0.3	0.5	0.5	1.9	1.9	5.8	5.8	18.3	18.3	38.0	38.0	67.6	67.6	85.1	85.1	95.0	95.0	97.8	97.8
45	97.4	97.4	97.7	97.7	93.6	93.6	93.6	93.6	80.0	80.0	80.0	80.0	59.4	59.4	59.4	59.4	97.9	97.9	94.5	94.5	78.3	78.3	59.4	59.4	31.0	31.0	15.7	15.7	5.6	5.6	2.5	2.5	1.0	1.0	0.7	0.7	0.4	0.4	0.5	0.5	0.5	0.5	0.7	0.7	1.1	1.1	1.6	1.6	2.7	2.7	3.9	3.9	6.3	6.3	10.9	10.9	18.3	18.3	24.5	24.5	25.2	25.2	22.6	22.6	15.0	15.0	8.4	8.4	3.2	3.2	1.2	1.2	0.5	0.5	0.3	0.3	0.3	0.3	0.6	0.6	2.0	2.0	6.3	6.3	20.0	20.0	40.8	40.8	69.4	69.4	86.4	86.4	95.1	95.1	97.9	97.9
50	97.2	97.2	97.3	97.3	92.7	92.7	92.8	92.8	77.1	77.1	77.0	77.0	55.5	55.5	55.4	55.4	97.8	97.8	94.1	94.1	78.7	78.7	59.6	59.6	31.1	31.1	15.8	15.8	6.0	6.0	2.7	2.7	1.1	1.1	0.7	0.7	0.5	0.5	0.5	0.5	0.7	0.7	0.9	0.9	1.3	1.3	1.8	1.8	3.0	3.0	4.5	4.5	7.2	7.2	12.5	12.5	21.0	21.0	27.9	27.9	28.7	28.7	25.1	25.1	16.4	16.4	9.1	9.1	3.4	3.4	1.2	1.2	0.6	0.6	0.4	0.4	0.4	0.4	0.7	0.7	2.5	2.5	7.2	7.2	23.0	23.0	44.6	44.6	72.9	72.9	88.0	88.0	95.8	95.8	98.2	98.2
